"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"21","Hertha BSC","BSC","FC Bayern München","FCB","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","TSG 1899 Hoffenheim","HOF","SV Darmstadt 98","DAR","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","1. FC Köln","KOE","FC Schalke 04","S04","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"21","1. FSV Mainz 05","M05","SV Werder Bremen","BRE","Sa, 18. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","Bayer 04 Leverkusen","LEV","1. FSV Mainz 05","M05","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","FC Bayern München","FCB","Hamburger SV","HSV","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","SV Darmstadt 98","DAR","FC Augsburg","FCA","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","SC Freiburg","SCF","Borussia Dortmund","BVB","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","Hertha BSC","BSC","Eintracht Frankfurt","SGE","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","FC Ingolstadt 04","FCI","Borussia Mönchengladbach","BMG","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","FC Schalke 04","S04","TSG 1899 Hoffenheim","HOF","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","Red Bull Leipzig","RBL","1. FC Köln","KOE","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"22","VfL Wolfsburg","WOB","SV Werder Bremen","BRE","Sa, 25. Februar 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","FC Augsburg","FCA","Red Bull Leipzig","RBL","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","Borussia Dortmund","BVB","Bayer 04 Leverkusen","LEV","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","Borussia Mönchengladbach","BMG","FC Schalke 04","S04","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","Eintracht Frankfurt","SGE","SC Freiburg","SCF","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","Hamburger SV","HSV","Hertha BSC","BSC","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","TSG 1899 Hoffenheim","HOF","FC Ingolstadt 04","FCI","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","1. FC Köln","KOE","FC Bayern München","FCB","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","1. FSV Mainz 05","M05","VfL Wolfsburg","WOB","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"23","SV Werder Bremen","BRE","SV Darmstadt 98","DAR","Sa, 04. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","Bayer 04 Leverkusen","LEV","SV Werder Bremen","BRE","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","FC Bayern München","FCB","Eintracht Frankfurt","SGE","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","SV Darmstadt 98","DAR","1. FSV Mainz 05","M05","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","SC Freiburg","SCF","TSG 1899 Hoffenheim","HOF","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","Hamburger SV","HSV","Borussia Mönchengladbach","BMG","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","Hertha BSC","BSC","Borussia Dortmund","BVB","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
"24","FC Ingolstadt 04","FCI","1. FC Köln","KOE","Sa, 11. März 2017 - 15:30","Sa 15:30","SCHEDULED","-","-"
